gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst
2024020017,2024-10-10,False,NSH,20,36,4,3,33,16,False,False,44,74,29,57
2024020032,2024-10-12,True,NYI,27,34,3,0,34,24,False,False,48,67,34,52
2024020039,2024-10-13,True,SEA,23,25,2,0,25,21,True,False,53,59,38,42
2024020054,2024-10-15,True,SJS,38,27,3,2,25,36,False,False,75,59,62,40
2024020066,2024-10-17,False,WSH,24,26,2,3,23,22,False,False,51,65,36,36
2024020077,2024-10-19,True,EDM,24,31,4,1,30,20,False,False,62,63,38,50
2024020095,2024-10-22,False,BUF,30,25,2,4,21,28,False,False,62,66,43,38
2024020109,2024-10-24,False,BOS,32,27,5,2,25,27,False,False,50,62,41,46
2024020132,2024-10-26,True,CHI,30,24,4,2,22,26,False,False,59,65,45,43
2024020168,2024-11-01,True,FLA,36,28,4,6,22,32,False,False,69,51,49,38
2024020174,2024-11-02,False,FLA,25,25,2,4,21,23,True,False,51,48,41,32
2024020216,2024-11-07,True,CHI,40,26,3,1,25,37,False,False,68,58,53,33
2024020230,2024-11-09,False,WPG,33,25,1,4,21,32,False,True,64,58,54,41
2024020241,2024-11-11,False,PIT,40,21,7,1,20,33,False,False,59,46,51,29
2024020262,2024-11-14,True,BOS,38,25,7,2,23,31,False,False,55,50,46,39
2024020281,2024-11-16,False,MIN,40,23,2,1,22,38,False,False,69,59,51,43
2024020291,2024-11-18,True,ANA,36,27,2,4,23,34,False,False,76,57,60,36
2024020303,2024-11-20,True,SJS,31,23,5,2,21,26,False,False,62,55,46,33
2024020325,2024-11-23,False,TBL,28,29,4,2,27,24,False,False,58,44,39,35
2024020339,2024-11-25,False,CAR,19,34,4,6,28,15,False,False,44,53,32,46
2024020357,2024-11-27,False,CHI,27,26,2,6,20,25,False,False,56,63,45,33
2024020373,2024-11-29,True,COL,24,32,5,3,29,19,False,False,49,66,34,46
2024020391,2024-12-01,True,WPG,31,27,3,1,26,28,False,False,60,59,44,40
2024020395,2024-12-02,False,UTA,21,37,2,1,36,19,True,False,58,70,34,46
2024020409,2024-12-04,False,LAK,28,17,2,3,14,26,False,False,61,50,47,28
2024020423,2024-12-06,False,VGK,40,28,2,3,25,38,False,False,65,65,49,46
2024020442,2024-12-08,True,CGY,28,31,6,2,29,22,False,False,61,62,41,46
2024020466,2024-12-12,True,NSH,36,26,1,4,22,35,False,False,55,57,46,38
2024020483,2024-12-14,True,STL,37,16,2,1,15,35,False,False,68,45,56,27
2024020494,2024-12-16,True,WSH,24,26,3,1,25,21,False,False,47,60,32,44
2024020508,2024-12-18,True,TOR,39,19,3,5,14,36,False,True,59,43,49,25
2024020525,2024-12-20,True,NYR,42,30,1,3,27,41,False,False,74,53,62,38
2024020556,2024-12-23,False,UTA,29,26,3,2,24,26,False,False,67,62,46,38
2024020563,2024-12-27,True,MIN,29,18,2,3,15,27,False,False,62,49,47,29
2024020577,2024-12-29,False,CHI,35,25,5,1,24,30,False,False,59,48,49,36
2024020595,2024-12-31,True,BUF,33,23,4,2,21,29,False,False,65,54,54,36
2024020608,2025-01-02,True,OTT,25,13,4,2,11,21,False,False,68,51,45,29
2024020628,2025-01-04,True,UTA,29,35,3,2,33,26,False,False,50,79,38,59
2024020643,2025-01-07,False,NYR,39,26,5,4,22,34,False,False,68,63,51,44
2024020657,2025-01-09,False,PHI,23,28,4,1,27,19,False,False,53,62,36,42
2024020673,2025-01-11,False,MTL,36,31,2,1,30,35,False,False,65,69,42,45
2024020685,2025-01-12,False,OTT,26,27,2,3,24,24,True,False,54,57,38,46
2024020693,2025-01-14,False,TOR,23,28,4,1,27,19,False,False,49,56,38,46
2024020715,2025-01-16,True,MTL,33,24,1,3,21,32,False,False,61,65,50,41
2024020724,2025-01-18,False,COL,29,36,3,6,30,26,False,False,71,74,48,55
2024020739,2025-01-19,True,DET,25,34,4,1,33,21,True,False,52,62,35,52
2024020753,2025-01-21,True,CAR,23,19,1,2,17,22,False,False,58,46,41,33
2024020774,2025-01-24,True,VGK,27,21,4,3,18,23,False,False,62,64,43,40
2024020783,2025-01-25,False,STL,19,33,2,0,33,17,True,False,47,65,27,48
2024020805,2025-01-28,False,VGK,28,28,4,3,25,24,False,False,68,56,45,41
2024020823,2025-01-31,True,VAN,16,29,5,3,26,11,False,False,48,55,30,40
2024020840,2025-02-02,True,CBJ,39,30,5,3,27,34,False,False,70,66,53,49
2024020856,2025-02-04,False,ANA,27,28,1,2,26,26,False,False,52,63,39,45
2024020875,2025-02-07,False,LAK,30,37,4,5,33,26,False,False,70,82,46,61
2024020889,2025-02-08,False,SJS,34,27,8,3,24,26,True,False,73,58,53,42
2024020897,2025-02-22,False,NJD,26,33,4,2,31,22,False,False,59,73,37,57
2024020913,2025-02-23,False,NYI,29,37,4,3,34,25,True,False,66,72,52,55
2024020924,2025-02-25,False,CBJ,23,29,4,6,23,19,False,False,55,66,38,42
2024020946,2025-02-28,True,LAK,32,31,6,2,29,26,False,False,63,76,46,60
